,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,1.5148561239242553,0.7044,0.7044,2.9015791899041283,17.865566710351217,0.7228,0.19033333333333333,0.6485555555555556
1,1,20,0.7847612574696541,0.832,0.832,1.5845282817188697,14.689674108800753,0.7045,0.02322222222222222,0.683
2,2,20,0.4133423902094364,0.8756,0.8756,0.9116645130930068,15.117744472664846,0.7868,0.0074444444444444445,0.7916666666666666
3,3,20,0.20526006557047366,0.932,0.932,0.9174779800674583,14.454886020069392,0.7874,0.01211111111111111,0.778
4,4,20,0.13503499701619148,0.9544,0.9544,0.7589916700049292,14.124000428428113,0.8177,0.011111111111111112,0.815
5,5,20,0.10010684318840504,0.9644,0.9644,0.6150559401964839,13.433592581413162,0.8495,0.030555555555555555,0.832
6,6,20,0.08786180280148984,0.9756,0.9756,0.5453623254087907,14.973740940362635,0.8611,0.021666666666666667,0.8543333333333333
7,7,20,0.06516521172598004,0.9804,0.9804,0.6689452936377707,15.756874071040624,0.8468,0.053,0.8114444444444444
8,8,20,0.04524370743893087,0.984,0.984,0.5422373263141776,15.412808364545795,0.8665,0.022444444444444444,0.8542222222222222
9,9,20,0.046341951191425326,0.9864,0.9864,0.5729807717136189,14.945701008111659,0.8629,0.025222222222222222,0.854
10,10,20,0.03877228032797575,0.9884,0.9884,0.5767033307612697,15.729401897376691,0.8659,0.03677777777777778,0.8448888888888889
11,11,20,0.022945192456245423,0.992,0.992,0.5398118503486053,15.443869174366267,0.8767,0.03077777777777778,0.8621111111111112
12,12,20,0.024214232759550213,0.9924,0.9924,0.5625060402517077,16.218360605374187,0.8723,0.02022222222222222,0.8626666666666667
13,13,20,0.021370963676599786,0.9924,0.9924,0.5816154438483564,15.965492100782797,0.8732,0.02677777777777778,0.8597777777777778
14,14,20,0.015099372272379697,0.9952,0.9952,0.5623030475328995,16.791669550076335,0.8768,0.028444444444444446,0.8618888888888889
15,15,20,0.012806374940555542,0.9964,0.9964,0.5890641626489314,18.0759125830422,0.8719,0.019777777777777776,0.8625555555555555
16,16,20,0.012754043960012496,0.9968,0.9968,0.5369482798666894,16.70486088873635,0.8828,0.033777777777777775,0.8646666666666667
17,17,20,0.012093014933634549,0.9972,0.9972,0.6011198163975643,17.193595872798436,0.8778,0.02722222222222222,0.863
18,18,20,0.01009998342487961,0.9984,0.9984,0.5689427969576437,17.320392232545665,0.8787,0.02988888888888889,0.8611111111111112
19,19,20,0.006695121107622981,0.9992,0.9992,0.5669479292782047,18.540532421058334,0.885,0.02822222222222222,0.8687777777777778
