,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,0.3758521529344412,0.8893629807692308,0.9264394934229562,0.5556000801442597,0.5141254257663794,0.16253282756933682,0.13246962325778647,0.9539,0.9545555555555556,0.043555555555555556
1,1,390,0.24689167401729487,0.9293469551282051,0.9650344981081682,0.6080160320641282,0.4725450901803607,0.14170664251793788,0.2268979432927051,0.9598,0.9287777777777778,0.06955555555555555
2,2,390,0.2106132295078192,0.9396434294871795,0.9746260683760684,0.6247996794871795,0.4609375,0.1584502006350439,0.2410390358155882,0.9509,0.9373333333333334,0.060444444444444446
3,3,390,0.19645383497461294,0.9420072115384616,0.9781452384661607,0.616402646881893,0.4682173651493884,0.1271525834793154,0.3068472810194526,0.9606,0.9001111111111111,0.0961111111111111
4,4,390,0.1833980908951698,0.9459334935897435,0.9817926859127029,0.6232725816142599,0.4620468656118566,0.13802512317801577,0.11194647729239414,0.9576,0.9522222222222222,0.04688888888888889
5,5,390,0.17600002170373233,0.9488782051282051,0.9843760432663418,0.6291842052515534,0.4546001202645821,0.15155657022436964,0.31639038907809997,0.9537,0.9013333333333333,0.095
6,6,390,0.16177177604001303,0.9524639423076923,0.9872234340916173,0.6397677212655186,0.4465358430116139,0.14723880032572564,0.22318377797032746,0.9611,0.9291111111111111,0.06922222222222223
7,7,390,0.16458373649571187,0.9504407051282051,0.9861108019676363,0.6294812737832967,0.453034247947126,0.14245076270043094,0.1685938881841344,0.96,0.9476666666666667,0.050888888888888886
8,8,390,0.15144849872359864,0.9544871794871795,0.9884924432969039,0.6485079110755058,0.4364109753655117,0.15248525366658652,0.11996997913844148,0.9593,0.9487777777777778,0.050666666666666665
9,9,390,0.14939193786718907,0.9547275641025641,0.9875358899597142,0.6593868964135444,0.424764576237227,0.1593482556128049,0.18632069660324446,0.9585,0.9344444444444444,0.06355555555555556
