,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,0.06439306875690817,0.9768,0.17186843101642554,0.8813606349515243,0.9492,0.8037777777777778,0.19144444444444444
1,1,20,0.026527812296990305,0.9932,0.15363481534568332,1.0015633223761975,0.9574,0.7778888888888889,0.21511111111111111
2,2,20,0.026012860890477895,0.9912,0.1788349415682539,1.1800693097248884,0.9519,0.7175555555555555,0.275
3,3,20,0.01795621020719409,0.9932,0.1864765615827298,0.9410315248328196,0.9524,0.7966666666666666,0.19611111111111112
4,4,20,0.018809394084382803,0.994,0.16191793043870786,1.1715313624328292,0.958,0.7365555555555555,0.25622222222222224
5,5,20,0.01769661926664412,0.9952,0.1693991572018477,1.6222877401701161,0.9567,0.5905555555555555,0.397
6,6,20,0.009257816150784493,0.9968,0.17648352298862005,2.090318592501358,0.9567,0.47633333333333333,0.5058888888888889
7,7,20,0.01795632727444172,0.9964,0.1927905770879286,2.2786538466601303,0.9524,0.4351111111111111,0.5406666666666666
8,8,20,0.0218494396423921,0.9948,0.15835380596639234,1.2632712100593138,0.9552,0.7032222222222222,0.2877777777777778
9,9,20,0.0067361750639975074,0.998,0.16353975524064862,0.8121205706831435,0.9589,0.8421111111111111,0.15466666666666667
10,10,20,0.010571307223290204,0.9968,0.1780494265729868,0.9926364690485135,0.9562,0.7908888888888889,0.20322222222222222
11,11,20,0.005837297264952213,0.9972,0.18146829867641193,1.1570793784840006,0.9553,0.7543333333333333,0.2378888888888889
12,12,20,0.013926278450526297,0.9968,0.2008516688984406,1.0302147966035655,0.9518,0.7871111111111111,0.207
13,13,20,0.006826239731162786,0.9972,0.18642295851030305,1.0728596776304111,0.9544,0.7831111111111111,0.21044444444444443
14,14,20,0.012420524517074228,0.9964,0.2269817388887647,1.0290747083408731,0.9451,0.7734444444444445,0.22066666666666668
15,15,20,0.014727788884192706,0.9956,0.21601312362317798,2.48575961086112,0.9489,0.34933333333333333,0.6294444444444445
16,16,20,0.01605453179217875,0.9952,0.22315572079601168,2.6298582083742383,0.9428,0.29744444444444446,0.678
17,17,20,0.01669696723110974,0.9924,0.21565884130099153,1.921201877191033,0.9452,0.45444444444444443,0.53
18,18,20,0.02452215403318405,0.9912,0.23075502884538868,2.4221408434317144,0.9444,0.35244444444444445,0.6244444444444445
19,19,20,0.011612910637632012,0.9972,0.24725714193869242,2.7481869308041853,0.9411,0.2768888888888889,0.6958888888888889
