,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,7.80548528432846,0.3328,0.3328,7.268844701066802,6.638472590647953,0.2131,0.8801111111111111,0.031
1,1,20,3.3383066773414614,0.2028,0.2028,2.531829885289639,2.6712758339626688,0.4907,0.32955555555555555,0.2511111111111111
2,2,20,1.3233764618635178,0.6752,0.6752,0.6232439532310148,3.467251646686608,0.8384,0.08822222222222222,0.696
3,3,20,0.42284436225891114,0.8684,0.8684,0.40720504465736923,3.0661821096715793,0.8631,0.16277777777777777,0.6736666666666666
4,4,20,0.18735817186534404,0.9364,0.9364,0.40892014322401604,4.295027544800664,0.8642,0.09544444444444444,0.7295555555555555
5,5,20,0.13596252389252186,0.956,0.956,0.3001699536284314,4.50315466733046,0.9038,0.06766666666666667,0.7062222222222222
6,6,20,0.08055705167353153,0.9748,0.9748,0.28231406004368503,6.441563062264886,0.9098,0.030666666666666665,0.8727777777777778
7,7,20,0.05756841190159321,0.9828,0.9828,0.3568891325753324,5.337007562879106,0.8944,0.03822222222222222,0.7584444444444445
8,8,20,0.03828626456670463,0.99,0.99,0.2673946438899523,4.604878334931924,0.9215,0.06988888888888889,0.7266666666666667
9,9,20,0.02999203335493803,0.9912,0.9912,0.2510646535437318,5.004772616104341,0.926,0.07444444444444444,0.8043333333333333
10,10,20,0.013521503703668714,0.9972,0.9972,0.2514696150452276,4.809229467956113,0.9275,0.08555555555555555,0.7874444444444444
11,11,20,0.011789144237991423,0.9976,0.9976,0.2431017921506604,4.593617724700713,0.9309,0.11377777777777778,0.7727777777777778
12,12,20,0.013028130459133536,0.9964,0.9964,0.2994309532680089,5.455031670315165,0.9175,0.07288888888888889,0.791
13,13,20,0.02573065124452114,0.994,0.994,0.2886756140785881,5.389774154609357,0.9196,0.07711111111111112,0.7948888888888889
14,14,20,0.033129947585985066,0.9908,0.9908,0.3326354073950007,5.548804303290138,0.913,0.08188888888888889,0.805
15,15,20,0.04585483628325164,0.9848,0.9848,0.32902167923748493,6.280639487253109,0.9051,0.05211111111111111,0.8276666666666667
16,16,20,0.027964474982582033,0.9892,0.9892,0.30120255722652506,4.605457430154505,0.9164,0.124,0.752
17,17,20,0.011547001858707518,0.998,0.998,0.2253277826158306,5.403879890979176,0.9368,0.06255555555555556,0.8117777777777778
18,18,20,0.0046444784267805515,0.9992,0.9992,0.23171426360554334,5.325080542497232,0.9364,0.07811111111111112,0.8323333333333334
19,19,20,0.00370400981628336,0.9992,0.9992,0.23644310803022944,4.5240803033533235,0.9355,0.11377777777777778,0.7856666666666666
