,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,1.0957231476902962,0.8892,0.8892,3.4235034803800946,31.95928627336529,0.6624,0.00011111111111111112,0.25733333333333336
1,1,20,0.5185863636434078,0.8684,0.8684,1.3935441216336022,17.846451450401627,0.7419,0.01877777777777778,0.48055555555555557
2,2,20,0.3321004457771778,0.9,0.9,1.506408284736585,22.284557584305883,0.7232,0.0015555555555555555,0.42633333333333334
3,3,20,0.1763284768909216,0.9448,0.9448,1.1727188546446305,6.461220553223516,0.7585,0.2588888888888889,0.36944444444444446
4,4,20,0.10233293306082487,0.9604,0.9604,0.6207151674441521,15.514680177393094,0.8407,0.0071111111111111115,0.6271111111111111
5,5,20,0.0651535052806139,0.9792,0.9792,0.6615994878207581,12.70656562858904,0.8382,0.032,0.5846666666666667
6,6,20,0.04700607620179653,0.9852,0.9852,0.5807692437798162,10.625723180636554,0.8617,0.07144444444444445,0.5837777777777777
7,7,20,0.03247853815555572,0.9904,0.9904,0.5343563449156435,8.232684894346855,0.8757,0.141,0.5547777777777778
8,8,20,0.025057670823298395,0.9928,0.9928,0.5422666778292837,10.642896585061516,0.8702,0.07544444444444444,0.6072222222222222
9,9,20,0.027892738906666638,0.992,0.992,0.5904479200326944,11.62417118985888,0.8692,0.07977777777777778,0.6013333333333334
10,10,20,0.03812979848589748,0.9852,0.9852,0.688239505019369,13.382375905211543,0.8465,0.015222222222222222,0.6104444444444445
11,11,20,0.03308869821485132,0.9892,0.9892,0.673750835506222,12.027393515680878,0.8582,0.06877777777777777,0.6186666666666667
12,12,20,0.029692073725163935,0.99,0.99,0.6186747992340522,13.984152068554515,0.8608,0.027555555555555555,0.5973333333333334
13,13,20,0.01825250079855323,0.996,0.996,0.6399097725560393,12.446248726106026,0.8663,0.03711111111111111,0.6335555555555555
14,14,20,0.014820469851838425,0.996,0.996,0.5537869888770429,13.151384702870544,0.8758,0.033666666666666664,0.6517777777777778
15,15,20,0.011530883668456227,0.9972,0.9972,0.5492144870229915,13.215965996325856,0.8783,0.034777777777777776,0.6453333333333333
16,16,20,0.0074989772459957745,0.9992,0.9992,0.5504807983495625,12.68938083380041,0.8758,0.05511111111111111,0.6345555555555555
17,17,20,0.005296087032184005,0.9988,0.9988,0.5515274973232535,11.50243563047597,0.876,0.06666666666666667,0.6196666666666667
18,18,20,0.008092400268651545,0.9976,0.9976,0.5512701359730733,13.424944743304186,0.8791,0.03922222222222222,0.6636666666666666
19,19,20,0.008707189190317877,0.9984,0.9984,0.5415055459435982,13.085670377167178,0.8824,0.037333333333333336,0.6503333333333333
