,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,0.3374355826144799,0.9158253205128205,0.9095906875292128,0.9719495091164095,0.1208174714486075,0.10721524031479147,0.011371943496272598,0.9675,0.9995555555555555,0.00044444444444444447
1,1,390,0.07540883616759227,0.9777243589743589,0.9754507010905854,0.9981963927855712,0.10260521042084168,0.08059595353146896,0.004567899124723085,0.974,0.9997777777777778,0.00022222222222222223
2,2,390,0.04741127251002651,0.9856169871794872,0.9842414529914529,0.9979967948717948,0.10276442307692307,0.07416166339211072,0.00394983978246824,0.976,0.9995555555555555,0.00044444444444444447
3,3,390,0.03502873535960531,0.9896434294871795,0.9886497674315091,0.9985963505113294,0.10146380589532786,0.07891306813947763,0.005054908952164188,0.9757,0.999,0.001
4,4,390,0.023975746260764888,0.9929086538461539,0.9921873261067955,0.9993991588223513,0.10134187863008212,0.07802288699895144,0.003675201515877016,0.9756,0.9994444444444445,0.0005555555555555556
5,5,390,0.01796845485133907,0.9947315705128205,0.9942133493579044,0.9993986770895971,0.1012226899178192,0.06869003281020854,0.0020161257994453043,0.9797,0.9997777777777778,0.00022222222222222223
6,6,390,0.01444698938061125,0.9956530448717948,0.9952143524907626,0.9995995194233079,0.10112134561473768,0.07681096263548147,0.0007000942517754058,0.9775,1.0,0.0
7,7,390,0.014065438595552666,0.9956530448717948,0.9953034923320052,0.9987983176447026,0.10154215902263168,0.08018029644596096,0.0012454868230352203,0.9788,0.9997777777777778,0.00022222222222222223
8,8,390,0.010188637553409746,0.9970352564102564,0.9967280254635297,0.9997997196074504,0.10094131784498298,0.0791209165059926,0.004903570738207864,0.9786,0.999,0.001
9,9,390,0.010368851463770111,0.9967948717948718,0.9964833403814908,0.999599278701663,0.10098176718092566,0.0721705262608166,0.0022343697492033243,0.9816,0.9995555555555555,0.00044444444444444447
