,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,10,1.9160408854484559,0.9316,0.9316,1.411065748333931,1.6319527394241757,0.9676,0.9993333333333333,0.0006666666666666666
1,1,10,0.6780575886368752,0.984,0.984,0.16900614220649005,0.47364942398336196,0.9703,0.9977777777777778,0.002
2,2,10,1.7758787781000138,0.5916,0.5916,2.2840988457202913,2.803754727045695,0.146,0.002,0.1728888888888889
3,3,10,2.2626832723617554,0.1552,0.1552,2.2115835547447205,2.3116872708002725,0.1774,0.029444444444444443,0.19544444444444445
4,4,10,2.172393798828125,0.1956,0.1956,2.126890403032303,2.6522825823889837,0.2017,0.1381111111111111,0.17266666666666666
5,5,10,2.1206842184066774,0.2092,0.2092,2.101403850317001,2.5334001647101507,0.2113,0.2564444444444444,0.1468888888888889
6,6,10,2.0898271560668946,0.2316,0.2316,2.060957646369934,2.8276358909077115,0.2253,0.2351111111111111,0.1491111111111111
7,7,10,2.0554694175720214,0.2488,0.2488,2.029050204157829,2.980200707912445,0.2448,0.18688888888888888,0.18944444444444444
8,8,10,2.0202407121658323,0.2708,0.2708,2.0047807842493057,2.8845475117365518,0.2562,0.21755555555555556,0.18533333333333332
9,9,10,2.0186150312423705,0.2632,0.2632,1.9882013767957687,3.059247155984243,0.2582,0.18411111111111111,0.18388888888888888
10,10,10,2.004330039024353,0.2632,0.2632,1.9988119184970856,2.4710524015956454,0.249,0.36877777777777776,0.14755555555555555
11,11,10,1.9703417062759399,0.284,0.284,1.980842736363411,2.4772691859139337,0.2499,0.3377777777777778,0.15455555555555556
12,12,10,1.9530853748321533,0.276,0.276,1.9747678637504578,2.8267936375406055,0.26,0.23633333333333334,0.177
13,13,10,1.9342395067214966,0.2876,0.2876,1.9554821372032165,2.42903071641922,0.2746,0.2437777777777778,0.18855555555555556
14,14,10,1.938284206390381,0.2768,0.2768,1.9350551426410676,2.7073839439286127,0.284,0.22666666666666666,0.19733333333333333
15,15,10,1.9055704951286316,0.2892,0.2892,1.952011176943779,2.526324835088518,0.2755,0.23777777777777778,0.18911111111111112
16,16,10,1.9010183691978455,0.298,0.298,1.9233507215976715,2.499167415830824,0.2854,0.22722222222222221,0.20155555555555554
17,17,10,1.894567322731018,0.2904,0.2904,1.904536059498787,2.6337026092741223,0.2946,0.17822222222222223,0.22355555555555556
