,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.2365396543955192,0.5393229166666667,0.4909738452977184,0.9741741741741742,0.9741741741741742,1.8581872574890717,0.009362422459034092,0.5499,0.9973333333333333,0.0007777777777777777
1,1,390,0.8056009220771301,0.7084935897435898,0.6762224843642191,0.9989981967541575,0.9989981967541575,1.795852295960052,0.04972418419062488,0.6191,0.9872222222222222,0.005222222222222222
2,2,390,0.6225756864517163,0.777724358974359,0.7531218697829716,0.998998998998999,0.998998998998999,1.5685263479812235,0.0275256127063931,0.6836,0.9921111111111112,0.0067777777777777775
3,3,390,0.5220821729837319,0.8171875,0.797039510294936,0.9983983983983984,0.9983983983983984,1.3629295486438124,0.01155251977308555,0.7249,0.9966666666666667,0.0028888888888888888
4,4,390,0.46132011535840156,0.8401442307692307,0.8225016692632985,0.998997995991984,0.998997995991984,1.5487996415246892,0.03550298497553023,0.7183,0.991,0.00811111111111111
5,5,390,0.4117522309605892,0.8571714743589743,0.8414422434898732,0.9987975951903808,0.9987975951903808,1.2752192737180976,0.014366402051317775,0.7568,0.9962222222222222,0.0036666666666666666
6,6,390,0.3679668670281386,0.8727363782051282,0.8586564572853136,0.999399279134962,0.999399279134962,1.5346754744083067,0.011913718829303652,0.7523,0.9958888888888889,0.0033333333333333335
7,7,390,0.34021965032204604,0.8815504807692308,0.8684515066542039,0.9995988768551946,0.9995988768551946,1.45528154508977,0.02582296399886615,0.7577,0.9923333333333333,0.006555555555555556
8,8,390,0.3116301530828843,0.8912459935897435,0.8792324302664678,0.9991998399679936,0.9991998399679936,1.4250003476686115,0.04779884932090489,0.7625,0.9873333333333333,0.011444444444444445
9,9,390,0.2856209051341583,0.9001201923076924,0.8890694206414566,0.999599278701663,0.999599278701663,1.3848326870157748,0.014550859709909762,0.7676,0.9952222222222222,0.0036666666666666666
10,10,390,0.26611390996437806,0.9086137820512821,0.8985555629743385,0.9991982361194628,0.9991982361194628,1.2549734772006167,0.0034305472642225934,0.7743,0.9987777777777778,0.0012222222222222222
11,11,390,0.2525314573485118,0.9111177884615385,0.9012865028490028,0.9995993589743589,0.9995993589743589,1.346223074424116,0.0842469978985757,0.7797,0.9788888888888889,0.018111111111111113
12,12,390,0.2354086758234562,0.917167467948718,0.9081014912085467,0.9987975951903808,0.9987975951903808,1.3164743064325066,0.1366214314082139,0.7913,0.9608888888888889,0.03333333333333333
13,13,390,0.22299900230688927,0.922255608974359,0.9137063746438746,0.999198717948718,0.999198717948718,1.363092281395876,0.02507285632360999,0.7769,0.9938888888888889,0.005888888888888889
14,14,390,0.20712331911692253,0.9275240384615384,0.9195156695156695,0.9995993589743589,0.9995993589743589,1.2523867178566848,0.01691796692608785,0.7955,0.9944444444444445,0.0054444444444444445
15,15,390,0.19549632496558703,0.9312299679487179,0.9236094108220001,0.9997997196074504,0.9997997196074504,1.4758575332315662,0.025540340526251232,0.7836,0.9936666666666667,0.006111111111111111
16,16,390,0.18123586943898445,0.9369591346153846,0.9300022256843979,0.9995991983967936,0.9995991983967936,1.4785306227358082,0.6388694669159365,0.7682,0.8454444444444444,0.11911111111111111
17,17,390,0.1748545368321431,0.9396634615384616,0.9330736701535722,0.998997995991984,0.998997995991984,1.3507075475741037,0.09314713681536452,0.7637,0.9712222222222222,0.023777777777777776
18,18,390,0.16501653576508546,0.9424278846153846,0.9361214360435354,0.999198557403326,0.999198557403326,1.4194335258459743,0.04658509012375028,0.7853,0.986,0.012333333333333333
19,19,390,0.15669961060660006,0.9450320512820513,0.9389690170940171,0.9995993589743589,0.9995993589743589,1.281983364986468,0.09760786231580965,0.8112,0.9757777777777777,0.022333333333333334
20,20,390,0.14321241556451872,0.9497996794871795,0.9442478466982707,0.9997995590298657,0.9997995590298657,1.3050474011445348,0.021687377403158677,0.7956,0.9954444444444445,0.004333333333333333
21,21,390,0.13462130374824388,0.9521033653846154,0.9468740958358371,0.9991982361194628,0.9991982361194628,1.4265105965771252,0.0415265485830851,0.8034,0.9876666666666667,0.012222222222222223
22,22,390,0.132910800495973,0.9530849358974359,0.947896728243935,0.9997995991983968,0.9997995991983968,1.3602404066278964,0.046839845391370774,0.8128,0.9867777777777778,0.012555555555555556
23,23,390,0.12234604746485368,0.9570112179487179,0.9522792022792023,0.9995993589743589,0.9995993589743589,1.5448796681210966,0.32103410908873653,0.7943,0.9268888888888889,0.06755555555555555
24,24,390,0.1206248526676343,0.9579727564102564,0.9534376460637896,0.998797836104989,0.998797836104989,1.347407557541811,0.03683629509493623,0.8149,0.9895555555555555,0.01011111111111111
25,25,390,0.10808906881377484,0.962079326923077,0.9578947368421052,0.9997993981945837,0.9997993981945837,1.351386637627324,0.09650743424131626,0.8155,0.9771111111111112,0.022222222222222223
26,26,390,0.10629164831569561,0.9635016025641026,0.9595788723929931,0.9987983176447026,0.9987983176447026,1.3412963317919382,0.048845737451493974,0.8019,0.9877777777777778,0.011777777777777778
27,27,390,0.0984069940705712,0.9654447115384616,0.9616103618640673,1.0,1.0,1.2699847711792476,0.05235511672717493,0.8138,0.9851111111111112,0.014777777777777779
28,28,390,0.09649017251645907,0.9661858974358974,0.9624518685036391,0.9997996393508315,0.9997996393508315,1.301634202275095,0.12100203981964101,0.8097,0.968,0.030555555555555555
29,29,390,0.09505290379747748,0.965985576923077,0.9622284544159544,0.9997996794871795,0.9997996794871795,1.3759752353535424,0.09480848500150925,0.8125,0.9738888888888889,0.025
30,30,390,0.08447713270449103,0.9697516025641025,0.9663891733072163,1.0,1.0,1.4197387876389902,0.20542593785679678,0.7999,0.9542222222222222,0.044
31,31,390,0.07827762031259063,0.9723357371794872,0.9692835043515036,0.9997997196074504,0.9997997196074504,1.1868197178538842,0.14423600500318365,0.8155,0.9676666666666667,0.03222222222222222
32,32,390,0.07860045639129404,0.9728365384615385,0.9698851495726496,0.9993990384615384,0.9993990384615384,1.3550822523575794,0.05520186024803248,0.8177,0.983,0.016444444444444446
33,33,390,0.07324735586985182,0.9745392628205128,0.9717776936944957,0.9993989180524945,0.9993989180524945,1.2484031402612035,0.07295454807684455,0.8184,0.9816666666666667,0.018222222222222223
34,34,390,0.07179722850187084,0.9739182692307692,0.9710425569800569,0.9997996794871795,0.9997996794871795,1.3686738233023052,0.06985352300460004,0.8009,0.9866666666666667,0.013
35,35,390,0.06634493682008141,0.9763221153846153,0.9737603489717795,0.9993985565356857,0.9993985565356857,1.3164170625843579,0.03814090114713214,0.8231,0.9876666666666667,0.011777777777777778
36,36,390,0.0626634866429063,0.9779246794871795,0.975493578471743,0.9997997196074504,0.9997997196074504,1.2122279081163527,0.0790743208391933,0.8283,0.9791111111111112,0.02011111111111111
37,37,390,0.05967308795258689,0.9790865384615385,0.9767845616221871,0.9997997196074504,0.9997997196074504,1.2974714214288736,0.02464642814182708,0.8216,0.9931111111111111,0.006888888888888889
38,38,390,0.05669822845464716,0.9796474358974359,0.9774305555555556,0.9995993589743589,0.9995993589743589,1.389198895496658,0.1393658746604506,0.8234,0.9624444444444444,0.03755555555555556
39,39,390,0.05166460460720536,0.9820713141025641,0.9801224262659989,0.9995995995995997,0.9995995995995997,1.3675167643571202,0.09320303168997142,0.8252,0.9748888888888889,0.023666666666666666
