,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,1.1258645042777062,0.864,0.864,2.7632818297494817,20.729497372264593,0.7117,0.03877777777777778,0.5297777777777778
1,1,20,0.4393799677491188,0.8824,0.8824,1.4970310353025604,21.693106315505336,0.7026,0.00011111111111111112,0.35833333333333334
2,2,20,0.2809841804206371,0.916,0.916,0.8181399306919002,11.808303577799192,0.8016,0.009111111111111111,0.5724444444444444
3,3,20,0.17201042138040065,0.9416,0.9416,0.6830683361880386,15.595202687760475,0.8244,0.0003333333333333333,0.5155555555555555
4,4,20,0.11279991250485182,0.9616,0.9616,0.4928182699257814,14.161823366729307,0.8615,0.004111111111111111,0.5038888888888889
5,5,20,0.07818024512380362,0.972,0.972,0.4793245737688451,14.409934849806234,0.8676,0.0064444444444444445,0.5446666666666666
6,6,20,0.05932895978912711,0.9792,0.9792,0.625601387618086,16.624302635730153,0.846,0.00044444444444444447,0.5513333333333333
7,7,20,0.04534958223812282,0.9856,0.9856,0.5031296716460699,20.891151965503962,0.8683,0.0016666666666666668,0.48044444444444445
8,8,20,0.037606750847771764,0.9888,0.9888,0.6540244636656363,16.141346206127757,0.8503,0.012333333333333333,0.5394444444444444
9,9,20,0.02720892638899386,0.9904,0.9904,0.6280652465699594,17.765784035266286,0.8498,0.0012222222222222222,0.5181111111111111
10,10,20,0.025632354570552705,0.9936,0.9936,0.5538091810443734,17.08813461787264,0.8613,0.007222222222222222,0.5068888888888889
11,11,20,0.021243361546657978,0.9948,0.9948,0.5673774597765524,17.700329216433243,0.8716,0.0038888888888888888,0.5001111111111111
12,12,20,0.015925539610907435,0.9964,0.9964,0.5635454577358463,18.925631429108098,0.8687,0.0016666666666666668,0.5326666666666666
13,13,20,0.01065339487977326,0.9988,0.9988,0.5375005650463738,16.934156028317734,0.8736,0.0038888888888888888,0.5935555555555555
14,14,20,0.008644059672951699,0.998,0.998,0.5262407062551643,18.223709375085964,0.8788,0.001888888888888889,0.5741111111111111
15,15,20,0.0053724363970104605,0.9992,0.9992,0.5075368371945393,18.579438437878245,0.8849,0.0024444444444444444,0.5826666666666667
16,16,20,0.007181002624565736,0.998,0.998,0.5177551253427621,17.958784774995188,0.8827,0.003,0.5646666666666667
17,17,20,0.00521980210323818,0.9988,0.9988,0.5214554046905493,18.10176964880715,0.8849,0.0013333333333333333,0.6138888888888889
18,18,20,0.005415583294234238,0.9988,0.9988,0.5223647974714448,18.244921670833104,0.884,0.0025555555555555557,0.5924444444444444
19,19,20,0.005000766011653468,0.9992,0.9992,0.5298341976690896,19.842701844766108,0.8834,0.0014444444444444444,0.5652222222222222
