,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,10,2.043047749996185,0.7712,0.7712,1.8621757954359055,1.962168190214369,0.7482,0.7458888888888889,0.16311111111111112
1,1,10,1.578284704685211,0.824,0.824,1.2595140308141708,1.8187935915258195,0.8173,0.6455555555555555,0.20644444444444446
2,2,10,0.9372730731964112,0.8916,0.8916,0.6970538273453712,1.709123667743471,0.8906,0.6386666666666667,0.26455555555555554
3,3,10,0.46190168559551237,0.9372,0.9372,0.38544782623648643,1.4384787811173334,0.9141,0.7016666666666667,0.23222222222222222
4,4,10,0.228633913397789,0.9692,0.9692,0.2747817225754261,1.1527016295327082,0.9315,0.7705555555555555,0.17055555555555554
5,5,10,0.14017515853047371,0.974,0.974,0.21516806222498416,0.9365686492787467,0.9428,0.8142222222222222,0.14766666666666667
6,6,10,0.08735063672065735,0.9828,0.9828,0.18377532437443733,0.8548982888460159,0.9459,0.8328888888888889,0.1398888888888889
7,7,10,0.057294242456555365,0.9876,0.9876,0.2014121700078249,0.5899540475673146,0.9467,0.8957777777777778,0.092
8,8,10,0.03981486074626446,0.9936,0.9936,0.18263285607099533,0.5685363353954421,0.9503,0.8982222222222223,0.08844444444444445
9,9,10,0.03341144025325775,0.9932,0.9932,0.1765865845605731,0.6290886940227615,0.9511,0.8821111111111111,0.10633333333333334
10,10,10,0.03218733295798302,0.9932,0.9932,0.16571491388604045,0.5785880618625217,0.9532,0.8922222222222222,0.09633333333333334
11,11,10,0.02567277904599905,0.9956,0.9956,0.1676214599981904,0.6237369337015681,0.9556,0.8793333333333333,0.11
12,12,10,0.01828022925183177,0.9964,0.9964,0.1717218954116106,0.5600612875488069,0.9552,0.8914444444444445,0.09977777777777778
13,13,10,0.015117106214165687,0.9988,0.9988,0.16263962741941212,0.5587213362256686,0.9555,0.8906666666666667,0.10122222222222223
14,14,10,0.012744063604623079,0.9992,0.9992,0.16303759920410812,0.5782803636458185,0.9565,0.8858888888888888,0.10677777777777778
15,15,10,0.01079108500853181,0.9996,0.9996,0.16396204605698586,0.5595890821682082,0.9566,0.887,0.10611111111111111
16,16,10,0.009089894592761993,0.9996,0.9996,0.15880755453836173,0.5655418137709299,0.9572,0.8837777777777778,0.10888888888888888
17,17,10,0.00930515001527965,0.9992,0.9992,0.16390972770750523,0.5891312650508351,0.9586,0.8817777777777778,0.11177777777777778
18,18,10,0.007544607017189264,0.9996,0.9996,0.15522948066936806,0.6045402056641049,0.9598,0.8802222222222222,0.11344444444444444
19,19,10,0.006863575242459774,0.9996,0.9996,0.1557630890980363,0.6102400256527795,0.9596,0.8788888888888889,0.115
