,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,0.18180970884859562,0.9564,0.1576058614433189,4.874912564183624,0.9505,0.21333333333333335,0.7232222222222222
1,1,20,0.02713438094360754,0.9896,0.1710520012280609,5.34367891096733,0.952,0.17777777777777778,0.7502222222222222
2,2,20,0.010518207144923509,0.9976,0.1531450324161332,6.339697562472921,0.9584,0.13433333333333333,0.7758888888888889
3,3,20,0.007944910041987895,0.998,0.16210545221037126,5.877143644950759,0.9572,0.16477777777777777,0.766
4,4,20,0.004193220584420487,0.998,0.15840681649367266,5.9089165674129,0.9573,0.17655555555555555,0.7312222222222222
5,5,20,0.004407223366433755,0.9988,0.15211662937757336,6.132912125385983,0.9603,0.17022222222222222,0.7408888888888889
6,6,20,0.002303195418789983,1.0,0.1738184193927276,6.028452893378029,0.9555,0.19044444444444444,0.7356666666666667
7,7,20,0.0018398057552985847,1.0,0.18057535562216293,6.227908550853461,0.9546,0.187,0.7355555555555555
8,8,20,0.0011703355703502893,1.0,0.17161128075816964,7.013532873610376,0.9596,0.14055555555555554,0.7678888888888888
9,9,20,0.005753720132634044,0.998,0.21267960272446462,6.220684058229688,0.9496,0.19088888888888889,0.7178888888888889
10,10,20,0.018304307572543622,0.9952,0.24598371921272216,4.588137499043639,0.9388,0.3032222222222222,0.6108888888888889
11,11,20,0.018393395096063615,0.9944,0.21256515202171442,6.122547451878937,0.9444,0.19133333333333333,0.7251111111111112
12,12,20,0.011603837518487125,0.9972,0.20707842450636096,5.3821464860943005,0.9485,0.25066666666666665,0.6444444444444445
13,13,20,0.007727692322805524,0.9984,0.20516833520341146,5.800144047804282,0.9475,0.23666666666666666,0.6813333333333333
14,14,20,0.00824298788793385,0.9976,0.18656921306554275,5.493346583675331,0.9525,0.24,0.6803333333333333
15,15,20,0.003977365698665381,0.9996,0.21246520774674754,5.317774336102983,0.9475,0.27566666666666667,0.6443333333333333
16,16,20,0.00902357678860426,0.9976,0.19976984110625484,5.5866856910813025,0.9517,0.25255555555555553,0.6756666666666666
17,17,20,0.005799940624274314,0.998,0.23859149368503427,5.94665647560442,0.9427,0.22411111111111112,0.6673333333333333
18,18,20,0.0032972666958812624,0.9988,0.21888197967900505,5.0687795692766215,0.946,0.3128888888888889,0.6146666666666667
19,19,20,0.0017521773639600723,0.9996,0.2284833872200821,4.524579780202516,0.9461,0.35933333333333334,0.5735555555555556
