,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,4.151685440540314,0.3688,0.3688,3.090114056309567,4.849508298954493,0.1,0.0,0.1111111111111111
1,1,20,2.646456801891327,0.108,0.108,2.4095253552062603,3.1364409587752653,0.1003,0.0,0.1111111111111111
2,2,20,2.3041880249977114,0.1488,0.1488,2.2489242614070073,3.199184316984365,0.1951,0.0,0.14122222222222222
3,3,20,2.1598850011825563,0.2424,0.2424,2.073487375355974,1.6236423757714284,0.1934,0.8396666666666667,0.051111111111111114
4,4,20,1.7581025242805481,0.4312,0.4312,1.4114477257185345,3.412434158190875,0.527,0.0,0.4424444444444444
5,5,20,0.8894596070051193,0.7752,0.7752,0.5613870073722887,4.1382422615104995,0.8369,0.08144444444444444,0.563
6,6,20,0.35268144607543944,0.8924,0.8924,0.40189808569376984,4.71736092634604,0.8734,0.033777777777777775,0.6358888888888888
7,7,20,0.188611201941967,0.9364,0.9364,0.28699413375763955,5.439152986230985,0.9093,0.03266666666666666,0.6503333333333333
8,8,20,0.08961134999990464,0.978,0.978,0.25594006252439716,6.545477652213942,0.9185,0.041444444444444443,0.6411111111111111
9,9,20,0.05901357261464,0.9836,0.9836,0.2458484284108198,6.943431545311297,0.9189,0.021666666666666667,0.6367777777777778
10,10,20,0.03840786833316088,0.9896,0.9896,0.23873852292382264,6.1452466937857615,0.9259,0.059666666666666666,0.6597777777777778
11,11,20,0.024532497953623535,0.9956,0.9956,0.2433412108051626,5.906689059566444,0.9245,0.09677777777777778,0.628
12,12,20,0.020161096518859268,0.9968,0.9968,0.2316619650095324,7.35790775191616,0.9306,0.03233333333333333,0.6805555555555556
13,13,20,0.01745571952778846,0.9968,0.9968,0.23104663608194906,6.877567156939439,0.928,0.04766666666666667,0.6821111111111111
14,14,20,0.0160272111883387,0.9968,0.9968,0.2601391100619413,7.758460219477264,0.9201,0.046,0.628
15,15,20,0.016977895121090113,0.9976,0.9976,0.23907677866990054,8.733721524896756,0.9274,0.012777777777777779,0.6784444444444444
16,16,20,0.009520369954407215,0.9984,0.9984,0.22789741854501677,7.301759840736927,0.9304,0.050888888888888886,0.6695555555555556
17,17,20,0.00983839265536517,0.9984,0.9984,0.24302255536747885,8.016383647918701,0.9302,0.04377777777777778,0.6661111111111111
18,18,20,0.0063577060587704185,0.9996,0.9996,0.2306959889357603,8.139655623637454,0.932,0.034888888888888886,0.6925555555555556
19,19,20,0.005334448750363663,0.9996,0.9996,0.24256488567666162,8.601330602672737,0.9294,0.01988888888888889,0.7035555555555556
