,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,12,0.3192434037725131,0.9066666666666666,0.16041802492691204,0.6018926815854179,0.9476,0.8467777777777777,0.1501111111111111
1,1,12,0.0723115758349498,0.9753333333333334,0.14532869942486287,1.2755107896195517,0.9581,0.7252222222222222,0.264
2,2,12,0.034707703782866396,0.988,0.14021484032273293,1.1977025187677808,0.9583,0.7421111111111112,0.24733333333333332
3,3,12,0.020601775536003213,0.994,0.14082738608121873,1.1266155408488379,0.96,0.7598888888888888,0.23233333333333334
4,4,12,0.012887170421890914,0.9963333333333333,0.13792243655771017,1.105708337492413,0.9605,0.7624444444444445,0.22844444444444445
5,5,12,0.011456954176537693,0.997,0.1427533476613462,0.9606931888394885,0.9603,0.7902222222222223,0.20222222222222222
6,6,12,0.00627578414666156,0.9986666666666667,0.15656259153038263,0.8309233180350728,0.9582,0.8136666666666666,0.18033333333333335
7,7,12,0.005704784203165521,0.999,0.1453559580259025,0.9869864516788058,0.9596,0.7843333333333333,0.20777777777777778
8,8,12,0.0035415117163211107,0.9996666666666667,0.15826726472005248,0.9560844285620583,0.9607,0.7935555555555556,0.1988888888888889
9,9,12,0.005523361614905298,0.999,0.14157852241769434,0.878927050365342,0.9612,0.8073333333333333,0.18688888888888888
10,10,12,0.005415393427635233,0.9986666666666667,0.14395757503807544,0.7651475071907043,0.9619,0.8277777777777777,0.1681111111111111
11,11,12,0.0034443023905623704,0.9993333333333333,0.14514752505347134,0.7904896587133408,0.962,0.8227777777777778,0.17255555555555555
12,12,12,0.003521891291408489,0.9996666666666667,0.14520038636401295,0.7972578513953421,0.9621,0.8212222222222222,0.1741111111111111
13,13,12,0.0027064418245572597,0.9993333333333333,0.15786931244656444,0.8130126479599211,0.9628,0.819,0.17633333333333334
14,14,12,0.00208092951894893,0.9996666666666667,0.1420099470327841,0.8590468135144975,0.963,0.8143333333333334,0.1807777777777778
15,15,12,0.0016046349240544562,1.0,0.15194412795826792,0.8530061062839296,0.9624,0.8108888888888889,0.18388888888888888
16,16,12,0.0010699462776149933,1.0,0.1569149548187852,0.8903287036551369,0.9624,0.8082222222222222,0.18633333333333332
17,17,12,0.0022868700713540116,0.9996666666666667,0.14964212644845248,0.8920565363433626,0.9619,0.8066666666666666,0.18766666666666668
18,18,12,0.002002942065397898,1.0,0.14296434134303126,0.8862378613816367,0.962,0.8061111111111111,0.18844444444444444
19,19,12,0.0014592045336030424,0.9996666666666667,0.1487208204343915,0.8756522436936697,0.9631,0.8101111111111111,0.18466666666666667
