,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,1.0134232968091965,0.8936,0.8936,3.090708224079277,24.094511005240427,0.7254,0.021555555555555557,0.6204444444444445
1,1,20,0.44442304521799086,0.8804,0.8804,1.9401310727566103,21.388663923236685,0.7205,0.0036666666666666666,0.6124444444444445
2,2,20,0.30347340255975724,0.9088,0.9088,0.9094775726523581,13.492412755187129,0.7931,0.042555555555555555,0.6203333333333333
3,3,20,0.1462190192192793,0.9532,0.9532,0.6435564914836159,11.140346124138631,0.8376,0.04088888888888889,0.6732222222222223
4,4,20,0.09906093152239918,0.972,0.972,0.5126665787229056,13.521242652140872,0.8654,0.02288888888888889,0.738
5,5,20,0.063929860945791,0.9792,0.9792,0.5535476056835319,8.809101205476573,0.8577,0.06744444444444445,0.6988888888888889
6,6,20,0.03903819494880736,0.988,0.988,0.4859583566460428,13.595739875041263,0.874,0.019,0.7736666666666666
7,7,20,0.03019339160528034,0.9916,0.9916,0.5196047598802591,11.507881755560216,0.8713,0.02022222222222222,0.7514444444444445
8,8,20,0.030088200746104122,0.9916,0.9916,0.7039087358154829,11.51266697091116,0.8463,0.052444444444444446,0.6902222222222222
9,9,20,0.021344182873144747,0.9924,0.9924,0.5842756038602395,14.921560865052989,0.8722,0.016444444444444446,0.6826666666666666
10,10,20,0.024007512372918427,0.992,0.992,0.5215395347604269,16.14076741984193,0.8761,0.01588888888888889,0.7234444444444444
11,11,20,0.017947021557483823,0.9964,0.9964,0.5436311533933953,16.502101051975306,0.8756,0.007555555555555556,0.7137777777777777
12,12,20,0.01387678631581366,0.9968,0.9968,0.5397429734091216,16.6834671933886,0.8757,0.01711111111111111,0.7415555555555555
13,13,20,0.011665862164227292,0.9976,0.9976,0.5368554801503315,14.329694747924805,0.8806,0.025555555555555557,0.7535555555555555
14,14,20,0.008618381101405248,0.9976,0.9976,0.5489410886281654,13.642935914053044,0.8828,0.03211111111111111,0.7548888888888889
15,15,20,0.004610331426374614,0.9992,0.9992,0.5358104890660395,14.254124426505935,0.8859,0.026222222222222223,0.7493333333333333
16,16,20,0.004949061045772396,0.9984,0.9984,0.4933855983714538,15.034608545437665,0.8896,0.026555555555555554,0.7457777777777778
17,17,20,0.004640622826991602,0.9988,0.9988,0.555922111755685,17.160424071298518,0.8822,0.012777777777777779,0.7513333333333333
18,18,20,0.00415884088142775,0.9988,0.9988,0.5074978074695491,13.883487634255852,0.8869,0.03822222222222222,0.7541111111111111
19,19,20,0.0029588806442916392,1.0,1.0,0.5150571876688849,13.893158348513321,0.8909,0.03877777777777778,0.7684444444444445
