,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,train_cross_acc_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,cross_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra,test_cross_acc
0,0,1.5811169812136598,0.414,0.4380287177203918,0.23570819112627986,0.41723549488054607,0.4110494880546075,1.5093200478372695,2.500186282144466,1.6076264924640897,1.5685543627806113,0.4996,0.10122222222222223,0.4806666666666667,0.4639
1,1,1.1991211090551313,0.57136,0.6166239982190561,0.2216296928327645,0.5735921501706485,0.5727389078498294,1.0830772994439812,1.7349336768539858,1.2025348793102215,1.5857939837684094,0.6395,0.20333333333333334,0.4901111111111111,0.5969
2,2,1.002931258105256,0.64222,0.6825189225289403,0.31697952218430037,0.5834044368600683,0.6503839590443686,1.3642923484874676,0.5233072756041943,1.208136351048192,2.3319975926842487,0.509,0.8095555555555556,0.1668888888888889,0.5667
3,3,0.8730508727795633,0.68938,0.7210318343722173,0.4308873720136519,0.5215443686006825,0.6973122866894198,1.1819572026216532,0.5517222944279792,1.0207767403578456,2.5439497920828806,0.5664,0.7875555555555556,0.1807777777777778,0.6596
4,4,0.7822296322154267,0.72186,0.7503060997328584,0.5081058020477816,0.4833617747440273,0.7197098976109215,0.742733255217347,1.5435172386572396,0.8299758396571195,1.61396642470024,0.7465,0.4177777777777778,0.4202222222222222,0.7189
5,5,0.7323684345578294,0.73942,0.7646093054318789,0.5492747440273038,0.45755119453924914,0.73794795221843,1.1621048993702177,0.19754439392979717,0.7569325279585922,4.496798166086976,0.5912,0.9315555555555556,0.06233333333333333,0.7447
6,6,0.6609020765937502,0.76802,0.7886520480854853,0.6070819112627986,0.4306740614334471,0.7694112627986348,0.692113502116143,0.4287050660227386,0.6398035499114024,3.239590607898336,0.76,0.8424444444444444,0.141,0.778
7,7,0.6164561662527607,0.781,0.7996159839715049,0.6459044368600683,0.3886518771331058,0.7771970989761092,0.9684759114362016,0.17232391825864013,0.7168211721921269,5.024648035076303,0.6654,0.9434444444444444,0.050666666666666665,0.7611
8,8,0.5771777497990357,0.79746,0.815143588601959,0.6879266211604096,0.35494880546075086,0.7844496587030717,0.5625552523739731,0.5028752634223078,0.6292469331735298,3.6439033192648016,0.8051,0.8093333333333333,0.1738888888888889,0.7846
9,9,0.5416157316521305,0.80988,0.8259405609973286,0.7265358361774744,0.33447098976109213,0.7899957337883959,0.7083105841014958,0.18990245419488827,0.6714456296419795,5.3105000643663,0.7556,0.9288888888888889,0.06566666666666666,0.7755
10,10,0.5065515123669754,0.82146,0.8353461709706145,0.7517064846416383,0.3054607508532423,0.8031143344709898,0.589531975456431,0.8633611789891418,0.8238158580623095,3.183377729335301,0.8127,0.7018888888888889,0.26066666666666666,0.7467
11,11,0.4793785991876022,0.8328,0.8439447907390917,0.7847696245733788,0.2839163822525597,0.8140998293515358,0.5384924807880498,0.28628039947697814,0.6212528347969055,5.709668461705597,0.8241,0.8967777777777778,0.09411111111111112,0.7937
12,12,0.46396158574639684,0.83868,0.851179875333927,0.7877559726962458,0.28967576791808874,0.8162329351535836,0.7939850325825848,0.08603805403264475,0.6383957421477837,8.436308820482711,0.7308,0.9683333333333334,0.02988888888888889,0.7924
13,13,0.4354868378404461,0.84826,0.859722840605521,0.8088737201365188,0.27261092150170646,0.824018771331058,0.5386677018449276,0.2030072994530201,0.6313251528558852,7.7593497289738185,0.8217,0.9325555555555556,0.06011111111111111,0.803
