,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,1.0345481730997563,0.7952,0.7952,0.8916771200638783,20.085686106077382,0.8565,0.05344444444444445,0.8253333333333334
1,1,20,0.24813024178147317,0.9376,0.9376,0.7036458568859704,17.38967601346298,0.8382,0.0025555555555555557,0.8432222222222222
2,2,20,0.136660822480917,0.956,0.956,0.5260118212126479,17.670105625206315,0.87,0.010444444444444444,0.8523333333333334
3,3,20,0.07357181366533042,0.9736,0.9736,0.4804752693523335,17.934894239398794,0.8783,0.008666666666666666,0.8595555555555555
4,4,20,0.053976425109431146,0.9812,0.9812,0.46790604708315453,16.59089070978299,0.8871,0.019444444444444445,0.8625555555555555
5,5,20,0.04675845894962549,0.9852,0.9852,0.4146297479732127,17.551531805119044,0.8967,0.01211111111111111,0.8757777777777778
6,6,20,0.03949720137752592,0.9876,0.9876,0.4146245746295663,19.039078699031347,0.8957,0.009777777777777778,0.8658888888888889
7,7,20,0.023201031563803553,0.994,0.994,0.4001380063687699,18.792877036081233,0.8977,0.011777777777777778,0.883
8,8,20,0.017320305190514772,0.9936,0.9936,0.41911560711981377,19.226596160673758,0.9,0.012555555555555556,0.8724444444444445
9,9,20,0.012483709643129259,0.9972,0.9972,0.4194597017161454,19.050865791213344,0.8988,0.009888888888888888,0.8703333333333333
10,10,20,0.010879351082257927,0.998,0.998,0.403755021434796,18.33296907451791,0.9033,0.013888888888888888,0.8758888888888889
11,11,20,0.011357685178518295,0.9976,0.9976,0.40515356572179856,17.708753518655268,0.9023,0.021222222222222222,0.8651111111111112
12,12,20,0.008969921595416963,0.9988,0.9988,0.434880557316768,18.459284419744787,0.8972,0.013444444444444445,0.8688888888888889
13,13,20,0.010179524426348507,0.9972,0.9972,0.4317983856684045,18.92226734967299,0.8988,0.013333333333333334,0.8668888888888889
14,14,20,0.00798218414420262,0.998,0.998,0.4266527229094807,17.92016974973007,0.9021,0.017222222222222222,0.8618888888888889
15,15,20,0.009801621608494316,0.998,0.998,0.42542596293401114,17.778547851132675,0.9015,0.015111111111111112,0.8722222222222222
16,16,20,0.00577091260929592,0.9992,0.9992,0.4238680048456675,18.8649061229867,0.9003,0.009888888888888888,0.8794444444444445
17,17,20,0.004781562712742016,0.9988,0.9988,0.4187982437919967,18.529100727027572,0.9017,0.017333333333333333,0.8671111111111112
18,18,20,0.003457493445603177,1.0,1.0,0.4390588549873497,19.25635727358536,0.8995,0.013888888888888888,0.8597777777777778
19,19,20,0.0046967790345661346,0.9992,0.9992,0.4254132651641399,19.52028505567094,0.9024,0.015333333333333332,0.8703333333333333
