,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,train_cross_acc_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,cross_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra,test_cross_acc
0,0,0.49237187446840586,0.83438,0.903689893143366,0.23869453924914677,0.7977815699658704,0.8665742320819113,0.17453878844463372,1.7614484404174375,0.2434963898002347,0.6013953878845967,0.9493,0.22533333333333333,0.7455555555555555,0.9244
1,1,0.3237996547652023,0.88252,0.9346337934105076,0.4084897610921502,0.6623293515358362,0.9197952218430034,0.18018691732159145,1.0461450966311172,0.18997049803220772,0.9493961384598638,0.9443,0.48044444444444445,0.5098888888888888,0.94
2,2,0.2747606593934471,0.89668,0.9415349510240427,0.47525597269624575,0.6045221843003413,0.9354735494880546,0.13763245968501778,1.087639867419928,0.18581534120478208,1.0031674353169724,0.9595,0.497,0.48933333333333334,0.9387
3,3,0.250072833769919,0.90658,0.9486865538735529,0.5138651877133106,0.5731655290102389,0.9415529010238908,0.19820033806034282,0.6423584050695661,0.19139106024669694,1.4493788497548707,0.9334,0.7057777777777777,0.2887777777777778,0.9394
4,4,0.2201523971755791,0.91778,0.9545581032947462,0.5723122866894198,0.5132252559726962,0.94955204778157,0.14819863273561756,0.5619747193766312,0.17169214228663263,1.656234173707559,0.9523,0.7468888888888889,0.24866666666666667,0.9468
5,5,0.21276098951849792,0.92026,0.955337266251113,0.5953498293515358,0.4950938566552901,0.9482721843003413,0.2216815333577651,0.3991972023332623,0.24744308853073965,2.1791285880854434,0.9246,0.843,0.1507777777777778,0.9207
6,6,0.18818004605600902,0.92964,0.9610696794300979,0.6324658703071673,0.4569112627986348,0.9577645051194539,0.24132362668272817,0.26406647789646204,0.20994980303169805,2.738187890657237,0.9132,0.9047777777777778,0.09366666666666666,0.9352
7,7,0.17554541415227648,0.93582,0.9645759127337489,0.6676621160409556,0.42235494880546076,0.9596843003412969,0.14685399558017903,0.7918651196318613,0.18378304901143797,1.6359493833192638,0.9544,0.658,0.3342222222222222,0.94
8,8,0.1630389301196846,0.93972,0.9659951024042742,0.6943259385665529,0.39334470989761094,0.9617107508532423,0.2042352325176891,0.435524990860845,0.19346361513002008,2.4509260956670196,0.9315,0.8181111111111111,0.17933333333333334,0.9412
9,9,0.15389286402774893,0.94322,0.9679986642920748,0.7052047781569966,0.39547781569965873,0.9672568259385665,0.17155022013791,0.3820906182829763,0.17544878028993366,2.8792515103246124,0.9445,0.8473333333333334,0.148,0.9468
